央视,#genre#
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225528/index.m3u8
天津卫视HD,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
湖北卫视HD,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
山东卫视,http://39.134.66.66/PLTV/88888888/224/3221225566/index.m3u8
山东卫视HD,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
重庆卫视HD,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
福建东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
福建东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
福建东南卫视HD,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8
四川卫视,http://39.134.66.66/PLTV/88888888/224/3221225497/index.m3u8
四川卫视HD,http://ivi.bupt.edu.cn/hls/schd.m3u8
河北卫视,http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225840/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
河北卫视HD,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
江西卫视HD,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
河南卫视HD,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
广西卫视,http://39.134.66.66/PLTV/88888888/224/3221225498/index.m3u8
广西卫视HD,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
吉林卫视,http://39.134.66.66/PLTV/88888888/224/3221225572/index.m3u8
吉林卫视HD,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
海南卫视HD,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
贵州卫视HD,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225564/index.m3u8
北京卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225574/index.m3u8
北京卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225689/index.m3u8
北京卫视HD,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
云南卫视,http://39.134.66.66/PLTV/88888888/224/3221225575/index.m3u8
云南卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
